"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
59,"NCT03038802","A Randomised Controlled Phase 1 Study of Vaccine Therapy for Control or Cure of Chronic Hepatitis B Virus Infection","HBV003","Not yet recruiting","No Results Available","Chronic Hepatitis b","Biological: Therapeutic hepatitis B vaccine|Biological: Commercial Hepatitis B vaccine","Safety assessment: Frequency of vaccine-related adverse events relative to active comparator vaccine|Viral load|Seroconversion|T-cell response|B cell response","Vaxine Pty Ltd|Australian Respiratory and Sleep Medicine Institute","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","40","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","HBV003","September 2023","December 2025","December 2025","February 1, 2017",,"March 31, 2023","ARASMI, Adelaide, South Australia, Australia",,"https://ClinicalTrials.gov/show/NCT03038802"
60,"NCT05526820","A Study of Combined Immunization With Live Attenuated Varicella Vaccine and Inactivated Hepatitis A Vaccine",,"Completed","No Results Available","Varicella","Biological: The live attenuated varicella vaccine and the inactivated hepatitis A vaccine","Seroconversion rates of the varicella antibody|Seroconversion rates of anti-HAV antibody|Seropositive rates of varicella antibody|GMT of varicella antibody|GMI of varicella antibody|Seropositive rates of anti-HAV antibody|GMC of anti-HAV antibody|GMI of anti-HAV antibody|The incidence of adverse events|The incidence of local and systemic solicitation adverse reactions|The incidence of serious adverse events (SAE)","Sinovac (Dalian) Vaccine Technology Co., Ltd.","All","12 Months to 15 Months   (Child)","Phase 4","450","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PRO-VZV-4001","April 8, 2021","April 8, 2021","February 27, 2022","September 2, 2022",,"September 2, 2022","Feicheng Center for Disease Control and Prevention, Tai'an, Shandong, China",,"https://ClinicalTrials.gov/show/NCT05526820"
61,"NCT06184230","Persistence of Hepatitis A Antibody in Healthy Adults ~32 Years Post Vaccination.",,"Not yet recruiting","No Results Available","Hepatitis A","Biological: Hepatitis A Vaccine","Persistence of Antibody","Best Healthcare Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 4","300","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","Study 023-Persistence","January 2024","March 2025","June 2025","December 28, 2023",,"December 28, 2023",,"""Study Protocol and Informed Consent Form"", https://classic.clinicaltrials.gov/ProvidedDocs/30/NCT06184230/Prot_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT06184230"
62,"NCT03365921","A Phase Ⅳ Clinical Trial of the Recombinant Hepatitis E Vaccine (Escherichia Coli)(the Lot Consistency Trial)",,"Completed","No Results Available","Hepatitis E","Biological: Participants would receive 3 doses of Recombinant Hepatitis E Vaccine (Escherichia Coli) intramuscularly at 0, 1, 6 month.","Seroconversion rate and GMC of anti-HEV IgG at Month 7.|Adverse reactions/events of all subjects","Xiamen Innovax Biotech Co., Ltd|Jiangsu Province Centers for Disease Control and Prevention","All","18 Years to 50 Years   (Adult)","Phase 4","360","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","PRO-HE-010","October 27, 2018","June 16, 2019","June 16, 2019","December 7, 2017",,"May 7, 2020","Dongtai City Center for Disease Control and Prevention, Dongtai, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT03365921"
63,"NCT01203319","The Immunogenicity and Safety of 60mcg/30mcg Recombinant Hepatitis B Vaccines in People Who Failed to Respond to Routine Administration of Hepatitis B Vaccines",,"Completed","Has Results","Hepatitis b","Biological: 60mcg/1.0ml recombinant hepatitis B vaccine|Biological: 30mcg/1.0ml recombinant hepatitis B vaccine|Biological: 10mcg/1.0ml recombinant hepatitis B vaccine","Immunogenicity of Recombinant Hepatitis B Vaccines in Nonresponders|the Safety of Recombinant Hepatitis B Vaccines in Nonresponders","Jiangsu Province Centers for Disease Control and Prevention|Shenzhen Kangtai Biological Products Co., LTD","All","16 Years and older   (Child, Adult, Older Adult)","Phase 2|Phase 3","1091","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","KT0003","November 2006","December 2010","March 2011","September 16, 2010","April 23, 2012","April 27, 2012",,,"https://ClinicalTrials.gov/show/NCT01203319"
64,"NCT02057263","The Effect of Alendronate on the Immune Response to Hepatitis B Vaccine in Healthy Adults",,"Completed","No Results Available","Hepatitis B","Drug: Alendronate|Drug: Hepatitis B Vaccine|Drug: Placebo","Safety/Adverse events|Efficacy","Massachusetts General Hospital","All","40 Years to 70 Years   (Adult, Older Adult)","Phase 1","28","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2014-P-000040","April 2014","February 2016","February 2016","February 7, 2014",,"October 21, 2016","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT02057263"
65,"NCT00739128","Response to Hepatitis B Vaccine in Celiac Disease Patients",,"Terminated","No Results Available","Celiac Disease","Biological: hepatitis B vaccine (EngerixB)","1. The primary endpoint of the study will be comparison of the geometric mean titers of anti-HBs between the intradermal and the intramuscular groups.|1. Rate of responders four weeks after the completion of the series 2. Rate and characteristics of adverse drug reactions 3. Numerical increase in the antibodies titer before and after vaccination 4. Rate of responders in the cross over phase","Shaare Zedek Medical Center","All","1 Year and older   (Child, Adult, Older Adult)","Not Applicable","210","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15363.ct.il","February 2009","March 2011","March 2011","August 21, 2008",,"April 15, 2011","SZMC, Jerusalem, Israel",,"https://ClinicalTrials.gov/show/NCT00739128"
66,"NCT03919578","Protectivity and Safety Following Recombinant Hepatitis B Vaccine",,"Completed","No Results Available","Immunogenicity","Biological: Recombinant Hepatitis B vaccine|Biological: Recombinant Hepatitis B (Bio Farma)","Percentage of subjects with increasing antibody titer >= 4 times|Geometric Mean Titer (GMT)|Percentage of subjects with transition of seronegative to seropositive|Percentage of subjects with at least one immediate reaction|Percentage of subjects with at least one of these adverse events|Serious adverse event after vaccination|Comparison adverse events between Investigational Products (Hepatitis B) and Control|Comparison of adverse events between each lot number of Recombinant Hepatitis B vaccine","PT Bio Farma","All","10 Years to 40 Years   (Child, Adult)","Phase 2|Phase 3","536","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Hep B 0218","September 11, 2019","January 30, 2020","February 28, 2020","April 18, 2019",,"September 19, 2022","RSND, Semarang, Central Java, Indonesia",,"https://ClinicalTrials.gov/show/NCT03919578"
67,"NCT04029454","Neovac 2 Burkina Faso: Impact of the Integration of Hepatitis B Birth Dose Vaccine Into the Infant Immunization Schedule","NEOVAC2BK","Completed","No Results Available","Hepatitis B","Biological: birth dose vaccination against hepatitis B strategy","Proportion of positive HBV infection in 9-month-old children vaccinated at birth compared to children receiving their first vaccination at 8 weeks.|Prevalence rate of HBV infection in pregnancy from HBsAg and HBeAg profiles in mothers of 9-month-old children|Sensibility and specificity of low-cost alternative HBV markers","Institut Pasteur|Agence de Médecine Préventive, France|Centre Muraz|Institut National de la Santé Et de la Recherche Médicale, France|Gilead Sciences|Abbott","Female","15 Years to 55 Years   (Child, Adult)","Not Applicable","10000","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2017-083","October 19, 2020","August 31, 2023","December 15, 2023","July 23, 2019",,"December 19, 2023","District sanitaire de Dafra, Bobo-Dioulasso, Dafra, Burkina Faso|District sanitaire de Do, Bobo-Dioulasso, Do, Burkina Faso",,"https://ClinicalTrials.gov/show/NCT04029454"
68,"NCT03456037","Incidence Of Hepatitis In Intensive Care Unit",,"Unknown status","No Results Available","Intensive Care Unit","Other: hepatitis viruses","HBsAg|anti-HCV","Sakarya University","All","18 Years to 120 Years   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","hepatitis","April 1, 2018","May 1, 2019","July 1, 2019","March 7, 2018",,"March 7, 2018","Sakarya University Research and Training Hospital, Sakarya, Turkey",,"https://ClinicalTrials.gov/show/NCT03456037"
69,"NCT01926860","PCV13 + Hepatitis A Vaccine for Adults","PCV13+HepA","Unknown status","No Results Available","Measurement of Immune Response to Prevenar13|Measurement of Immune Response to Hepatitis A","Biological: Prevenar13|Biological: Hepatitis A vaccine","Immune response to PCV13|Immune response to Hep A vaccine","Helsinki University Central Hospital","All","50 Years and older   (Adult, Older Adult)","Phase 4","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PCV13 adults + Hep A","September 2013","September 2014","September 2015","August 21, 2013",,"August 21, 2013","Aava Medical Centre, Helsinki, Finland|Department of Infectious Diseases, Eskilstuna, Sweden",,"https://ClinicalTrials.gov/show/NCT01926860"
70,"NCT04470271","Re-linkage to Care of Patients With Hepatitis C",,"Unknown status","No Results Available","Viral Hepatitis C","Other: Patients with hepatitis C lost follow up","Number of participants who were lost of follow up","Austral University, Argentina","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","CIE N° P 20-008","September 1, 2020","December 31, 2020","March 31, 2021","July 14, 2020",,"July 14, 2020","Universidad Austral, Pilar, Buenos Aires, Argentina",,"https://ClinicalTrials.gov/show/NCT04470271"
71,"NCT05099757","The Immunogenicity and Persistence of Booster Dose With Hepatitis B Vaccine in College Students",,"Unknown status","No Results Available","Hepatitis B Vaccine","Biological: 20 µg dose hepatitis B vaccine","Anti-HBs Seroconversion Rate at Months 1|Anti-HBs Seroconversion Rate at Months 3|Anti-HBs Seroconversion Rate at Months 7|Anti-HBs Seroconversion Rate at Months 12|Anti-HBs Seroconversion Rate at Months 18|Anti-HBs Seroconversion Rate at Months 24|Anti-HBs Seroconversion Rate at Months 30|Anti-HBs Concentration at Months 1|Anti-HBs Concentration at Months 3|Anti-HBs Concentration at Months 7|Anti-HBs Concentration at Months 12|Anti-HBs Concentration at Months 18|Anti-HBs Concentration at Months 24|Anti-HBs Concentration at Months 30","Shanxi Medical University","All","18 Years and older   (Adult, Older Adult)","Phase 4","150","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","DXSHB20211012","February 20, 2022","November 25, 2022","December 15, 2023","October 29, 2021",,"December 6, 2021",,,"https://ClinicalTrials.gov/show/NCT05099757"
72,"NCT03083158","Immunity to Hepatitis B Vaccine","HVP01","Completed","No Results Available","Hepatitis B|Immunization; Infection","Drug: Hepatitis B vaccine","Antibody response to the first dose of hepatitis B vaccine|Kinetics of the immune response to the first dose of hepatitis B vaccine with respect to cellular immune response|Kinetics of the immune response to the first dose of hepatitis B vaccine with respect to transcriptomic response|Kinetics of the immune response to the first dose of hepatitis B vaccine with respect to proteomic response|Kinetics of the immune response to the first dose of hepatitis B vaccine with respect to metabalomic response|Kinetics of the immune response to the first dose of hepatitis B vaccine with respect to epigenetic response|Kinetics of the immune response to the first dose of hepatitis B vaccine with respect to lymph node response|Identify the DNA sequence of B- and T- cell receptors following vaccination","University of British Columbia|Vanderbilt University|J. Craig Venter Institute|The Scripps Research Institute|University of California, San Diego|Institut Pasteur|Human Vaccines Project","All","40 Years to 80 Years   (Adult, Older Adult)","Phase 4","16","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","H17-00175","March 6, 2017","February 1, 2018","February 1, 2018","March 17, 2017",,"November 25, 2020","Vaccine Evaluation Center, Vancouver, British Columbia, Canada",,"https://ClinicalTrials.gov/show/NCT03083158"
73,"NCT05710120","Hepatitis C Screening Alerts",,"Completed","No Results Available","Hepatitis C","Other: Hepatitis C Screening Alerts in CHORUS™|Other: Standard of Care","Screening to Diagnosis Ratio for Hepatitis C Infection|Screening Tests for Hepatitis C Infection|HCV RNA Viral Load Tests|HCV Screening History","Epividian|Gilead Sciences|ZS|AIDS Healthcare Foundation","All","18 Years and older   (Adult, Older Adult)",,"125706","Industry|Other","Observational","Observational Model: Other|Time Perspective: Other","COL2023-002","January 16, 2023","October 17, 2023","October 17, 2023","February 2, 2023",,"February 16, 2024","AIDS Healthcare Foundation, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT05710120"
74,"NCT05902624","Efficacy and Safety of Hepatitis B Virus Vaccine(HBV) in Treatment of Cutaneous Warts",,"Not yet recruiting","No Results Available","Cutaneous Warts","Drug: Hepatitis B Virus Vaccine(HBV)","Effectiveness of Hepatitis B virus vaccine(HBV) in treatment of cutaneous warts .","Assiut University","All","10 Years and older   (Child, Adult, Older Adult)","Early Phase 1","66","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","cutaneous warts treatment","June 10, 2023","May 20, 2024","August 20, 2024","June 15, 2023",,"June 15, 2023",,,"https://ClinicalTrials.gov/show/NCT05902624"
75,"NCT02994537","Study of the Clinical Features of Autoimmune Hepatitis",,"Recruiting","No Results Available","Hepatitis, Autoimmune","Other: Different biochemical results or pathogenesis.","Biochemical remission of participants","Li Yang|West China Hospital","All","18 Years to 80 Years   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","AAIH-001","October 2013","June 1, 2022","December 31, 2022","December 16, 2016",,"April 29, 2022","Division of Gastroenterology & Hepatology,West China Hospital,Sichuan University, Chengdu, Sichuan, China",,"https://ClinicalTrials.gov/show/NCT02994537"
76,"NCT02445703","Comparison of Immunization Schedules of Inactivated Hepatitis A Vaccine and Combined Hepatitis A and Hepatitis B Vaccine",,"Completed","No Results Available","Hepatitis A|Hepatitis B","Biological: Inactivated Hepatitis A vaccine (HAV)|Biological: Combined hepatitis A and hepatitis B vaccine (HABV)","The Post-immunization Seropositivity Rates (SPR) to Hepatitis A|The Post-immunization Geometric Mean Concentration (GMC) of Hepatitis A Antibody (anti-HAV)|The Post-immunization GMC of Hepatitis B Surface Antibody (HBsAb)|The Post-immunization SPR to Hepatitis B|Occurrence of Adverse Events (AEs)","Sinovac Biotech Co., Ltd","All","18 Months to 24 Months   (Child)","Phase 4","301","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","PRO-HAB-4005","May 2014","January 2015","June 2016","May 15, 2015",,"July 27, 2021","Hunan Provincial Center for Disease Control and Prevention, Changsha, Hunan, China",,"https://ClinicalTrials.gov/show/NCT02445703"
77,"NCT00383591","Comparison of Adjuvanted Hepatitis B Vaccine to Double Dose of Engerix™-B in Pre- /Haemodialysis Patients Aged ≥15 Years",,"Completed","No Results Available","Hepatitis B","Biological: Hepatitis B adjuvanted vaccine|Biological: Engerix-B","Anti-HBs seroprotection|Response to booster|Solicited, unsolicited symptoms and serious adverse events","GlaxoSmithKline","All","15 Years and older   (Child, Adult, Older Adult)","Phase 3","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","208129/047","March 2002",,"January 2004","October 3, 2006",,"March 23, 2017","GSK Investigational Site, Hradec Kralove, Czech Republic|GSK Investigational Site, Bandar Tun Razak, Cheras, Malaysia|GSK Investigational Site, Barcelona, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, Malaga, Spain",,"https://ClinicalTrials.gov/show/NCT00383591"
78,"NCT01564134","Dose of Hepatitis B Vaccines in Non/Low-response Populations",,"Completed","No Results Available","Vaccination; Complications, Reaction, Serum","Biological: hepatitis B vaccine","Seroconversion rates of different doses of vaccines the levels of HBs-Ab after vaccination","Wu Jiang|Beijing Municipal Science & Technology Commission|Centers for Disease Control and Prevention, China","All","1 Year to 65 Years   (Child, Adult, Older Adult)","Not Applicable","537","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention","BJCDCWJ201102","August 2011","March 2012","June 2012","March 27, 2012",,"July 10, 2013","Xicheng Centers For Disease Prevention & Control, Xicheng District, Beijing, China|Chifeng Centers For Disease Prevention & Control, Chifeng, Inner Mongolia, China",,"https://ClinicalTrials.gov/show/NCT01564134"
79,"NCT05725109","Hepatitis C Diagnosis to Treatment Management",,"Completed","No Results Available","Hepatitis C","Other: Hepatitis C Treatment Alerts in CHORUS™|Other: Standard of Care","Prescriptions for HCV treatment|HCV RNA viral load tests","Epividian|Gilead Sciences|AIDS Healthcare Foundation","All","18 Years and older   (Adult, Older Adult)",,"1063","Industry|Other","Observational","Observational Model: Other|Time Perspective: Other","COL2023-001","January 16, 2023","October 17, 2023","October 17, 2023","February 13, 2023",,"February 16, 2024","AIDS Healthcare Foundation, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT05725109"
80,"NCT06203925","Hepatitis C Virus Self-testing (HCVST) in Sexual and Gender Minorities in Rio de Janeiro",,"Not yet recruiting","No Results Available","Hepatitis C","Diagnostic Test: Hepatitis C virus self-test (oral fluid HCVST)|Diagnostic Test: Hepatitis C virus self-test (blood-based HCVST)","Number of SGM living in Rio de Janeiro (Brazil) who requested an HCVST kit through a web-based platform|Number of SGM living in Rio de Janeiro (Brazil) who received and performed the test.|Proportion of MSM/TGW who correctly performed HCVST with oral-fluid and blood-based kits without assistance of a healthcare worker|Socio-demographic characteristics through the data obtained from the study.|Type-preference test through the data obtained from the study.|Participants who reported Easy test.|Possible outcomes through the data obtained from the study.|Participants through the data obtained from the study.|Participants who attending a consultation through the data obtained from the study.|Prevalence of reactive HCV through the data obtained from the study.|Cost per identification through the data obtained from the study.|Particiopants who used telehealth through the data obtained from the study.|Socio-demographic characteristics of MSM/TGW through the data obtained from the study.|Participants who report the test through the data obtained from the study.|Participants who needed help from a healthcare.|Preference for tests|Easy test|Participants who needed a consultation.|Positive participants|Cost for using the test|Positive participants with HCV-RNA","Oswaldo Cruz Foundation|World Health Organization|UNITAID","All","18 Years to 99 Years   (Adult, Older Adult)",,"3000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","69747223.4.0000.5262","January 8, 2024","December 31, 2025","December 31, 2025","January 12, 2024",,"January 12, 2024","Evandro Chagas National Institute of Infectious Diseases, Rio de Janeiro, Rio De Janeiro/RJ, Brazil",,"https://ClinicalTrials.gov/show/NCT06203925"
81,"NCT05482282","Immunogenicity and Safety of DTP-HB-Hib Using New Hepatitis B Bulk (Bio Farma)",,"Not yet recruiting","No Results Available","Diphtheria Vaccine Adverse Reaction|Tetanus Vaccine Adverse Reaction|Pertussis Vaccine Adverse Reaction|Haemophilus Influenzae Type B Vaccine Adverse Reaction|Hepatitis B Vaccine Adverse Reaction","Biological: Recombinant Hepatitis B new Bulk vaccine|Biological: DTP-HB-Hib with Recombinant Hepatitis B new Bulk vaccine|Biological: Recombinant Hepatitis B vaccine (Registered BioFarma)|Biological: Pentabio","To evaluate protectivity of DTP-HB-Hib Vaccine (Bio Farma) using new Hepatitis B bulk (Bio Farma)|To asses the local and systemic reactions within 30 minutes|To asses the local and systemic reactions within 30 minutes to 7 days after immunization|To asses the local and systemic reactions within 7 days to 28 days after immunization|To asses the serious adverse event","PT Bio Farma|Hasan Sadikin General Hospital","All","1 Day to 3 Days   (Child)","Phase 3","220","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","Penta BS22","October 2022","December 2022","February 2023","August 1, 2022",,"August 1, 2022","Garuda Primary Health Centre, Bandung, West Java, Indonesia|Ibrahim Adjie Primary Health Centre, Bandung, West Java, Indonesia|Puter Primary Health Centre, Bandung, West Java, Indonesia",,"https://ClinicalTrials.gov/show/NCT05482282"
82,"NCT03330171","Safety and Immunogenicity of Measles Vaccine, Varicella Vaccine and Hepatitis-A Vaccine","MV/VV/Hep-AV","Unknown status","No Results Available","Measles|Varicella|Hepatitis A","Biological: Measles vaccine|Biological: Hepatitis-A vaccine|Biological: Varicella vaccine","Number of participants with seroprotective antibody titres (IgG ≥330 mIU/ml quantified by ELISA) one month post booster measles vaccination|Number of participants with seroprotective antibody titres (IgG ≥300 mIU/ml quantified by ELISA) one month post varicella vaccination|Number of participants with seroprotective antibody titres (IgG ≥20 mIU/ml quantified by ELISA) one month post hepatitis-A vaccination|Number of participants with vaccine-related adverse events after primary measles vaccination|Number of participants with vaccine-related adverse events after booster measles vaccination|Number of participants with vaccine-related adverse events after varicella vaccination|Number of participants with vaccine-related adverse events after hepatitis-A vaccination|Persistence of immunogenicity","University of Witwatersrand, South Africa","All","18 Weeks to 19 Months   (Child)","Phase 4","278","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","MV/VV/Hep-AV","April 10, 2017","February 26, 2019","December 1, 2022","November 6, 2017",,"March 17, 2020","Chris Hani Baragwanath Academic Hospital; Nrf/Dst Vpd Rmpru, Soweto, Gauteng, South Africa",,"https://ClinicalTrials.gov/show/NCT03330171"
83,"NCT02601040","Immunogenicity and Safety of Inactivated and Live Attenuated Hepatitis A Vaccines",,"Completed","No Results Available","Hepatitis A","Biological: Attenuated Hepatitis A Vaccine, H2 Strain|Biological: Inactivated Hepatitis A Vaccine, Lu8 Strain|Biological: Group A Meningococcal Polysaccharide vaccine","Changes of hepatitis A antibody concentration|Incidence of adverse events","Jiangsu Province Centers for Disease Control and Prevention|Institute of Medical Biology, Chinese Academy of Medical Sciences","All","18 Months to 65 Years   (Child, Adult, Older Adult)","Phase 4","13500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","JSEPI-004","November 2011","June 2014","October 2015","November 10, 2015",,"November 10, 2015","Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, Jiangsu, China|Institute of Medical Biology -Chinese Academy of Medical Sciences, Kunming, Yunnan, China",,"https://ClinicalTrials.gov/show/NCT02601040"
84,"NCT06191471","Hepatitis A Virus Induced Acute Acalculous Cholecystitis Diagnosed Postoperatively: Case Report",,"Completed","No Results Available","Acute Acalculous Cholecystitis","Other: Laparoscopic cholecystectomy for hepatitis A induced acute acalculous cholecystitis","Hepatitis A induced acute acalculous cholecystitis","University of Balamand","Female","18 Years to 90 Years   (Adult, Older Adult)",,"1","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","UBalamandAAC","November 1, 2023","December 10, 2023","December 10, 2023","January 5, 2024",,"January 5, 2024","University Of balamand, Beirut, Lebanon",,"https://ClinicalTrials.gov/show/NCT06191471"
85,"NCT04177043","Model Towards Elimination of Hepatitis C Infection in Egypt: Feasibility and Effectiveness in 73 Villages",,"Completed","No Results Available","Hepatitis C, Chronic","Diagnostic Test: HCV antibody and hepatitis B surface antigen (HBsAg) rapid diagnostic tests|Drug: DAAs","incidince of HCV in population","Egyptian Liver Hospital","All","12 Years and older   (Child, Adult, Older Adult)","Phase 4","221855","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","village2015","June 2015","June 2018","December 2018","November 26, 2019",,"November 26, 2019",,,"https://ClinicalTrials.gov/show/NCT04177043"
86,"NCT00356564","Persistence of the Immune Response to Hepatitis B in 7-9 Years Old Children Previously Vaccinated With DTPa-HBV-IPV/Hib",,"Completed","No Results Available","Hepatitis B","Biological: hepatitis B vaccine","Anti-HBs antibody concentration|Persistence of antibodies to the other DTPa-HBV-IPV/Hib vaccine antigens.|Sol & unsol symptoms after HBV vaccination, SAEs","GlaxoSmithKline","All","7 Years to 9 Years   (Child)","Phase 4","350","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","106744","July 2006",,"December 2006","July 26, 2006",,"October 12, 2016","GSK Investigational Site, Ettenheim, Baden-Wuerttemberg, Germany|GSK Investigational Site, Kehl, Baden-Wuerttemberg, Germany|GSK Investigational Site, Oberkirch, Baden-Wuerttemberg, Germany|GSK Investigational Site, Offenburg, Baden-Wuerttemberg, Germany|GSK Investigational Site, Aichach, Bayern, Germany|GSK Investigational Site, Bobingen, Bayern, Germany|GSK Investigational Site, Erding, Bayern, Germany|GSK Investigational Site, Kaufering, Bayern, Germany|GSK Investigational Site, Kempten, Bayern, Germany|GSK Investigational Site, Landsberg, Bayern, Germany|GSK Investigational Site, Lohr, Bayern, Germany|GSK Investigational Site, Muenchen, Bayern, Germany|GSK Investigational Site, Muenchen, Bayern, Germany|GSK Investigational Site, Noerdlingen, Bayern, Germany|GSK Investigational Site, Pegnitz, Bayern, Germany|GSK Investigational Site, Tutzing, Bayern, Germany|GSK Investigational Site, Weilheim, Bayern, Germany|GSK Investigational Site, Marburg/Lahn, Hessen, Germany|GSK Investigational Site, Salzgitter, Niedersachsen, Germany|GSK Investigational Site, Erkrath, Nordrhein-Westfalen, Germany|GSK Investigational Site, Krefeld, Nordrhein-Westfalen, Germany|GSK Investigational Site, Willich, Nordrhein-Westfalen, Germany|GSK Investigational Site, Bad Sobernheim, Rheinland-Pfalz, Germany|GSK Investigational Site, Mainz, Rheinland-Pfalz, Germany|GSK Investigational Site, Schoeneberg - Kuebelberg, Rheinland-Pfalz, Germany|GSK Investigational Site, Trier, Rheinland-Pfalz, Germany|GSK Investigational Site, Bischofswerda, Sachsen, Germany|GSK Investigational Site, Dresden, Sachsen, Germany|GSK Investigational Site, Altenholz, Schleswig-Holstein, Germany|GSK Investigational Site, Bredstedt, Schleswig-Holstein, Germany|GSK Investigational Site, Flensburg, Schleswig-Holstein, Germany|GSK Investigational Site, Flensburg, Schleswig-Holstein, Germany|GSK Investigational Site, Husum, Schleswig-Holstein, Germany|GSK Investigational Site, Kiel, Schleswig-Holstein, Germany|GSK Investigational Site, Niebuell, Schleswig-Holstein, Germany|GSK Investigational Site, Lobenstein, Thueringen, Germany|GSK Investigational Site, Rudolstadt, Thueringen, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Hamburg, Germany",,"https://ClinicalTrials.gov/show/NCT00356564"
